almost bedtime 
not good 
scariest dreams 
why ? 
is sad 
69 sucks 
work tired 
misses irish 
i miss 
aaaaaaaaaaaaaaaaaaaay ! 
no car 
aw . 
awww honey 
they wont 
strep throat 
me too.. 
hopefully x 
that sucks 
in traffic 
so bored 
i know 
massive headache 
yeah . 
im lonely 
is tired 
me too 
thats ageeeeeees 
laundry time 
i know 
not playin 
feeling emotional 
revising ! 
being bored 
me neither 
muss off 
is cold 
oh noes 
i do 
missing lahore 
pcst too 
revising again 
poor riley 
at work 
sigh . 
doing homework 
poor scooter 
rain delay 
11th place 
homework time 
so lonely 
ouch ! 
dirty hair 
bummer ! 
love sucks 
horrible weather 
being bored 
bad tiemz 
i havent 
going home 
very doubtful 
got headache 
it worked 
yeah ..twice 
been there 
cross fire 
whyy ? 
okay chase 
saludos a 
thats late 
so lonely 
own seb-day 
why ? 
ouch sunburn 
meus updates 
missing chicago 
i know 
red asphalt 
being bored 
blow dryer 
ø§ù†ø¬ù „ 
sorry mummy 
oh alright 
i do 
back home 
is wounded 
so sorry 
ugh stomachache 
heath ledger 
so mean 
i know 
than come 
bastards . 
me too 
sourceforge.net down 
is crushed 
doing homeworkk 
yes ! 
poor calvin 
upside down 
job issues 
sick.. again 
doing laundry 
bad day 
sore throat 
work ugh 
rude people 
so bored 
missing issybee 
watching signs 
me either 
oh thankssss 
i wish 
aww ... 
oh no 
is cold 
i know 
pissed off 
baby crying 
probably not 
never succeeded 
djs mean 
isssss cold 
really sick 
aaah s 
short saturday 
acabou . 
still working 
dammit ! 
kinda pissed 
i wish 
indeed . 
no picture 
i know 
back home 
rainy day 
headed home 
poor ry 
all lolz 
the airport 
-posh apparently 
how disappointing 
rubbish week 
so bored 
seriously ? 
never replies 
its raining 
me yoo 
me too 
idk why 
already wrapped 
hey.yanks lost 
with tiana 
ugh damnit 
yep . 
what really 
that sucks 
work soon 
sorry . 
cadãª vocãª 
urgh . 
missing someone 
aw why 
exams soon 
ewwww shipleys 
im hurtin 
i know 
redwings 3-0 
removing now 
this sucks 
be'n lonely 
currently sick 
third wheel 
i know 
so sad 
i miss 
that sux 
sore throat 
last day 
i remember 
ankle huurtss 
is packing 
a little 
thats sad 
splitting headache 
so sorry 
i know 
thx babe 
wtffffff seriouslyyyy 
aww leah 
no picture 
sore throat 
me too 
still nothing 
is sad 
getting disappointed.. 
i knooooo 
i agree 
damn ! 
not allowed 
thanks ! 
craving chocolate 
really sick 
ahhh well 
aim please 
goodnight . 
why ? 
i know 
me too 
i know 
work ... 
really jealous.. 
is ugly 
stfu haha 
me too 
me too 
pq ? 
sorry sweetie 
doin nothing 
that sucks 
mee too 
come back 
so sorry 
reason ? 
is lonelily 
ight bro 
i miss 
poor baby 
durian pufffffffffffffffffffffffffffffffffffffs 
homework . 
sorry bethy 
boks ouwe 
so tired 
not working 
i do 
me too 
guilty feeling 
need you 
me too 
misses everyone 
nope . 
not me 
*careful hugs* 
1-1 now 
poor thing 
finished dance 
awe yea 
hahaha why 
mee too 
not really 
i know 
that sucks 
ish grounded 
checking out 
goodnight all 
grounded . 
so tired 
me too 
concerts over 
so sunburned 
vomito again 
fine julius 
still nope 
not possible 
tummy hurts 
whut ? 
i know 
sorry ! 
: nope 
work time 
pois eh 
friends acabou 
at work 
last smail 
work again 
traffic sucks 
hospital ugh 
awe sorry 
i wish 
head ache 
that blows 
bummer . 
tummy hurts 
thursday . 
cramming again 
is upset 
disappointed . 
nasty weather 
is lonely 
not happy 
aw . 
today sucks 
nobody tweeting 
sorry man 
no . 
hug ? 
august 17 
missing josh 
oh.. yeah 
sorry pal 
sore throat 
so bored 
boring sunday 
doing homework 
twitter chato 
that sucks 
soooooo cooooold 
come party 
lol5/6 now 
where is 
fucking homework 
me too 
it does 
freezing rain 
no one 
back home 
has heartburn 
im jealousss 
im sorry 
misses sydney 
ffffffffffffffffffffff tieed 
that sucks 
tink tink 
cold toes 
not out 
stop coughing 
leg cramp 
snowing mate 
sore throat 
sunday again 
buzzzzed with 
whyyy ? 
taking ages 
poor you 
awake again 
head hurts 
me too 
yes please 
very doubtful 
kidney infection 
cannnot sleep 
type back 
at work 
iknow . 
he didnt 
bored again 
no . 
no-one remembered 
im sorry 
me toooooo 
so bored 
tummy ache 
colin punctured 
jealous of 
so bored 
i itch 
cant slp 
i know 
its raining 
poor thing 
me too 
yeah typical 
scary dream 
workk soon 
why ? 
back hurts 
hangover ouchies 
its cooooold 
in office 
lucky you 
so exhausted 
ugh rainnn 
rainy sunday 
at work 
fraid so 
is revising 
rainy day 
work 6am 
me too 
doing homework 
me neither 
bad weather 
massive headache 
hand tremors 
holiday end 
me too 
nothing specificly 
it does 
too early 
toooooo early 
so tired 
pain ? 
soree throat 
coursework grr 
damn it 
its freezing 
really worried 
making homework 
party pooper 
crying again 
me too 
its early 
everyones leaving 
revissiiooon grrrrr 
poor you 
is learning 
i know 
hates revising 
sorry babe 
waking up 
unpleasantly sick 
me too 
caught flu 
whatsaid ... 
monday approaching 
last day 
doing coursework 
not anymore 
sore throat 
awww ! 
terrible headache 
working again 
exhausted . 
sunday sunday 
its raining 
reaaaaally stressed 
act tutoring 
iloveyou x 
me too 
missed followfriday 
at work 
stoopid mechanic 
classics revision 
its uncool 
bad ... 
massive toothache 
so lonely 
headache ! 
... .. 
i dont 
cleaning . 
o angustia 
raining ; 
idk . 
headache headache 
i knoow 
agree ! 
hangover city 
at work 
not really 
if only 
yep . 
without me 
fucking hell 
ironedmy hand 
my phone 
head hurts 
its raining 
not well 
missing someone 
sun poisoning 
will do 
no work 
que chato 
is tired 
not really.. 
stomach ache 
missing someone 
working tonight 
more woolmart 
oh rite 
being bored 
poor horseys 
cba though 
oooookaaay . 
morning heartaches 
study day 
ouch ! 
home work 
lip postponed 
homeward bound 
raining agaaaaaain 
bastard teeth 
agh work 
head hurts 
at work 
ironing time 
why ? 
is cold 
maths homework 
sore throat 
homework sunday 
me know 
miss them 
work ... 
pounding headache 
i know 
the homework 
english coursework 
tooth acheeeeeeeeeee 
lawn time 
cleaning day 
hugs . 
is ... 
braces hurt.. 
headed home 
i agree 
too wise 
ughhh crampssss 
airconditioning fail 
andnot working 
cleaning . 
that sucks 
just learning 
cant focus 
aww . 
lucky you 
its raining 
washin dishes 
got toothache 
damn hayfever 
sunday khatam 
but tiff 
is slooooooooooooooow 
yeah ! 
i know 
got dumped 
what happened 
very hungry 
thank u 
headache medicine 
mee toooo 
baby *hugs* 
fraid not 
history revision 
seriously bored 
sad now 
me tooooo 
i know 
watching heartbeat 
sore throat 
my foot 
wherethe hecks 
feelin lonely 
hangovers suck 
yeah ... 
awww..that sucks 
heading home 
thats depressing 
this sucks 
stomach crampssssssss 
going home 
ouch ! 
perut cakit 
not yet 
me ? 
homework . 
at home 
beach ... 
rehearsal cancelled 
hes gone 
sick again 
monday tomorrow 
autsch headache 
working text 
sunday evening 
margerets leaving 
not cleaning 
nope . 
owey indeed 
its raining 
im confused 
no 15 
oh bother 
crappy day 
me to 
ur not 
me neither 
miss you 
hate you 
lack-of-money-for-transport disease 
nothing much 
crazy feelings 
effing cramps 
oh well 
oh noo 
not again 
shit happens 
nothin muchhh 
home work 
way tired 
hate finals 
this sucks 
not you 
no idea 
my nose 
oh dear 
why ? 
seriously hon 
finals . 
effectivement ... 
work 3-close 
bloody weather 
really ? 
oh yeah.. 
tummy hurts 
not much 
oh shit 
fucking cold 
raining baby 
bad week 
my mom 
last day 
your cacti 
poor mikey 
lip hurtsssss 
dreading tomorrow 
booooo work 
leaving laughlin 
miriam please 
seconded . 
soooo exhausted 
very sad 
unpacking . 
i know 
very sad 
ouch ... 
head.ache . 
i miss 
at work 
bye honey 
misss u 
not yet 
so soreeeeee 
missing someone 
sooooooooooooooooooo cold 
why ? 
noooooo xxxx 
awwww shay 
my condolences 
shiiiiiiiitt 1-1 
mission failed 
share plx 
broke his 
mou . 
last day 
shake him 
sore throat 
i cant 
ugh indeed 
so tired 
stressed out 
ah headache 
wishwas coming 
bad day 
why ? 
my life 
sunday ends 
thats terrible 
that sucks 
so tired 
she cant 
bnp cunts 
come early 
god dammit 
*not happy* 
poor percy 
they close 
follow me 
really hurt 
but still 
david ... 
morning tweets 
so sorry 
me too 
missng jelly 
exams tomorrow 
sadness . 
music project 
monday again 
fathers day 
wants coolwhip 
the dream 
good luck 
head hurts 
boo ? 
poor percy 
is tired 
*whiiiiiiiiiiines sickly* 
ouch ! 
bloody hell 
wants cat 
me too 
nope . 
yeah ... 
extremely bored 
big headhaches 
bone cancer 
fome ... 
sorry baby 
so tired 
crying . 
yeah . 
i know 
homework time 
lmao no 
super headache 
how sad 
history cao 
is tired 
i agree 
sad now 
head hurts 
it does 
poor thing 
hates finals 
boreed ... 
no wind 
i know 
i agree 
that sucks 
. thanks 
awwwwww will 
watching titanic 
your mean 
still hopingg 
finals are 
racoon roadkill 
oh noooo 
no . 
so tired 
you suck 
me too 
im sorry 
that stinks 
q droga 
ouch sunburn 
is home 
very ... 
finals tomorrow 
u suck 
realllllyyyy bored 
no food 
at work 
severe headache 
holy crap 
me tooo 
yes . 
goodnight . 
hates everyone 
im sad 
school tommorow.yuck 
shen splints 
i missed 
i know 
i know 
so dissapointed 
oh ... 
i meant 
so disappointing 
anti-climatic nbafinals 
lakers win 
noooooo monday 
randy lost 
head ache 
poor thing.. 
super disappointed 
sooooo stressed 
monday blues 
jealous ! 
that sucks 
me too 
im closing 
me 2 
... .. 
rough patch 
what . 
my bad 
bad show 
sorry renee 
fuckery ! 
tummy ache 
lucky you.. 
work tomorrow 
thales emo 
same here 
poor bre 
*gentle pats* 
extraã±o twittear 
okk ! 
whyamvi stupid 
i am 
poor baby 
unresolved problems.. 
my throat 
envy you 
me too 
work man 
who knows 
that cunt 
i misstweepluv 
oh no 
i misstweepluv 
me too 
missed 11:11 
bad headache 
is sadddddddddddddddddddddddddddd 
monday morning 
missing roni 
another monday 
sadly not 
officially sick 
hatess headaches 
really tired 
maybe not 
leaving tomorrow 
noooo *huggles* 
hates cleaning 
that sucks 
oh no 
feeling nauseated 
monday already 
re passport 
feeling lightheaded 
shitty day 
leavingggg disneyland 
stupid headache.. 
been there 
so cold 
being bored 
sore tummy 
sooo confused 
me too 
dave blackman 
juans moving 
hate mondays 
no insurance 
harpenden again 
shit resutls 
stressedddddddddddddddd . 
lonely already 
monday again 
it sucks 
alone again 
at work 
blue monday 
yeah . 
assignments rework 
worried ... 
tooth ache 
not happy 
pff *duimt* 
is revising 
oh dear 
why ? 
monday morning 
so tiiiiiiiiiiired 
doctors tomorrow 
monday again 
in english 
at work 
poor you 
red piss 
aux ulis 
me too 
heart broken 
me too 
agreed ! 
probably not 
dito expireddomain 
low blow 
just annoyed 
its cold 
is shattered 
nope . 
physically tired 
arg monday 
me too 
nightmares suck 
being shushed 
ehh work 
is heartbroken 
i know 
still revising 
so upset 
me too 
come back 
hectic day 
bad day 
poor you 
feeling isolated 
trying to 
methods'ingggggg , 
goodbye texas 
boooleaving today 
and bored 
sinus headache 
: sorry 
always hungry 
shame though 
serious ouch 
too late 
monday again 
religion assignment 
monday monday 
in french 
me toooo 
oh dear 
o no 
ahhhh exams 
is househunting 
back fromdownload 
headache . 
ohh.. f*ck 
head ache 
doing music 
exam today 
really hard 
coughing fit 
for you 
in class 
nothing ... 
licorice duck 
stay away 
maths next 
is working 
is frustrated 
missed it 
damn exams 
monday booooooooooo 
refunds /14pubx 
i know 
harsh stuff 
ewwww ! 
mm ? 
yeah ipt 
audit today 
am lonly 
jury duty 
lol damn 
damn right 
thats horible 
surgery time 
mondays stink 
too late 
another day 
thats awful 
learning ... 
raining again 
poor baby 
another day 
my throooaaaatttttt 
is babysitting 
is tired 
yes . 
ugh friends 
exam+math test 
tummy ache 
-is sad- 
ah well 
yuch ! 
ugh ! 
i /living/article/650787 
oh babe 
work time 
is tired 
no iphone 
exam week 
indeed . 
tummy ache 
brady no 
baking fail 
work tonight 
got headache.. 
chubby cheeks 
long story 
at work 
my ankle 
ear infection 
at work 
statistics revision 
my magic 
is poorly 
without me 
rip chesterbunny 
missed yingting 
me too 
me too 
that sucks 
so tired 
oh no.. 
love you 
take care 
missing people 
hates working 
sore throat 
food poisoning 
why me 
physical therapy 
is upset 
about ? 
ah shit 
thanks ... 
waking up 
yes . 
monday blues 
is gutted 
monday already 
yep unfortunately 
braces hurt 
not there 
busy monday 
bye texas 
rip shana 
boooo monday 
por ai 
i know 
is thinking 
summer election 
i miss 
sometimeslife sucks 
still working.. 
boreed x 
yes basically 
too early 
wai you 
tummy hurts 
its gay 
goddammit ! 
thanks . 
stockmarket=trustfund fail 
having headache 
badders now 
argh . 
oh no 
rasins suck 
u lucky 
bad day 
relationships suck 
that blows 
that sucks 
bad day 
doing homework 
i know 
its raining 
i know 
bord shitles 
shoulder cramp 
totally upset 
mondays suck 
fucking rain 
miss you 
still waiting 
yes please 
why ? 
ihatee twitter 
it died 
headache ! 
stress headache 
oh dear 
visting grams 
thevenominside . 
too sad 
missing hakish 
aww kiss 
that sucks 
am not 
alone today 
very doubtful 
yep . 
miss you 
cramps overload 
missed rachel 
coursework x 
i know 
headache . 
i know 
no show 
your gonee 
baking fails 
hates hayfever 
kein geld 
darn ! 
hopefully not 
he declined 
yuck ! 
reallyyy bored 
monnnnnday ergh 
missingright now 
i did 
noo ... 
oh noes 
headache . 
that sucks 
ouch ! 
hey ! 
i agree 
im sorry 
i know 
me too 
me too 
no actually.. 
whats wrong 
evilll desk 
needright now 
i wish 
losee magic 
that stinks 
migriane ouch 
i know 
why ? 
no problem 
dreading tomorrow 
my feet 
at work 
headache ! 
head ache 
why ? 
blonde momentthihi 
epic headache 
whyy ? 
horriblee bahah 
feeling down 
diarrhea again.. 
so bored 
go us 
thunder scarweeee 
my condolences 
that cold 
whats wrong 
uncalled for 
graduation omg 
i know 
i agree 
awww , 
tummy hurts 
dude ... 
its raining 
twitter rape 
tummy hurts 
yeaaaah xxx 
sooooooooooooooooooooooo tireeeeeeeeeeeeeeeeeed 
twitterific=not working 
jiggasaywha ? 
headd acheee 
hey beautiful 
of course 
feels underestimated 
is confused 
i know 
no disney 
headache . 
do want 
missing you 
me too 
why essays 
too late 
really confused 
jealous . 
ditto ugh 
game over 
head surgery 
back ache 
awwww /hugs 
worried . 
working overtime 
is board 
+10 sympathies 
nope hahah 
nope ! 
crying . 
poor you 
very tired 
has hic.cups 
to doente 
that sucks 
why ? 
eu tb 
still working 
gym bound 
its mine 
t3h suck 
stopped again 
rip daddy 
broken heart 
is unwanted 
why ? 
reality sucks 
that sucks 
doing homework 
i noticed 
ugh headache 
disapointed . 
exactly . 
is craviiing.. 
not salty 
boo . 
restless ... 
what happened 
you suck 
head ache 
sooooo upset 
unfortunately not 
rumors suck 
not me 
i mean 
stomach issues 
doing spanish 
that sucks 
is frustrated 
you suck 
jobs suck 
goodbye head 
cleaning ... 
checking weight~ 
its humid 
$ 22.50 
lmfao ! 
fuck traffic 
pleaseeeeeee ! 
jealous . 
i agree 
text me 
sooo tireeed 
today sucks 
will do 
that sucks 
is procrastinating 
cleanin up 
thanks pal 
disqualified me 
tooooo full 
yup omg 
evidently ... 
june 26th 
poor princess 
oh gawd 
holy shit 
ss project 
bye duchess 
- ouch 
not again 
i meant 
misses music 
just sad 
awwww crap 
fucking headache 
sucks ! 
feeties hurt 
same here 
thevenominside . 
birthday depression 
keeps coughing 
i know 
so bored 
washing clothes 
so tired.. 
im lonely 
just here 
no dead 
being annoyed 
sorry . 
is tired 
my fingers 
guess not 
that sucks 
double mathsss 
family issues.. 
i know 
muy tristeee 
i knowww 
because . 
oh feck 
so bored 
caty doesnt 
lol awwwwe 
pool closed 
neck hurts 
yes . 
thank you 
ouch . 
feeling neglected 
face time 
oh no 
graphic design 
tummy hurts 
headache ouchhh 
numbering measures 
really sad 
you failed 
aaaawwww . 
exhausted . 
no good 
bummer . 
no picture 
rimming shrimp 
that sucks 
that suks 
good morning 
what ? 
damn straight 
terrible headache 
i know 
ish bored 
ouch ! 
/7iuc7 - 
no phoneeee 
about 27 
bad day 
me neither 
sunburn sucks 
in office.. 
pgn heavenlyyyy 
nothing . 
tummy ache 
try themaguire.com 
thats bad 
no . 
hes off 
oh dear 
please ? 
iremember school 
whats wrong 
whats adorable 
miss you 
very doubtful 
aw bb 
awww yes 
very tired 
you left 
sadly me 
very sad 
test tom 
whyyyy ? 
no good 
feeling down 
more hw 
depressing situation 
its cold 
working graphics 
i cant 
shares/kuf5ln /p/119grc 
*focus*focus*focus* ouchmyshoulder 
soo early 
exam today 
same heree 
by pinky 
disappointment sucks 
still thinking 
i missalready 
workload increasing 
so tired 
nothing funny 
homework time 
so bored 
awwwww man 
heartbroken ! 
very tired 
started raining 
harrrd ! 
giants lost 
agreed ! 
dean laidley 
not me 
its raining 
throat infection 
whats wrong 
twice . 
confused . 
missed u 
poor butterflies 
the end 
that stinks 
morningtime again 
that sucks 
yep . 
sodray wastedy 
is nauseated 
me either 
yay rain 
how sad 
me cachis 
goodmorning people 
rainy day 
reading chemistry.. 
killer headache 
updates- 589 
workworkworkworkexam friday 
its coold 
fuckin cold 
so tired 
raining ! 
wants him 
giggity apparently 
noooooooo lol 
byee guysss 
missing people 
doing nothing 
cannnot sleeeep 
project maken 
crunch time 
homework . 
not me 
hahas ! 
contemplating housework 
has toothache 
oh noes 
morning twittz 
feels restless 
wisdom teeth 
so tired 
stomach ache 
summer ! 
no shoes 
me too 
aww ! 
is awake 
yes . 
am bored 
its rain 
bossseeeennn ... 
math regents 
misses download 
in french 
starlight tears 
poor rian 
being board 
damn tired 
me too 
at work 
swallowed face 
throat hurts 
exam time 
is sadd 
that sucks 
ugh tired 
need rest 
poor thing 
work ... 
just worse 
im sorry 
is tired 
work 9-12:30 
really ill 
miss someone 
i know 
exam now 
me too 
poorly sick 
packing ... 
office politics 
not really 
hates earaches 
exam time 
super soreeee 
preston again 
doing nothing 
haiz.. homeworks.. 
english learning 
feels ineffective 
coffee w/sugar 
me too 
oh no 
very doubtful 
im boreeeeeeeeeeed 
work soooon 
us regentssss 
so tired 
ick . 
worst.headache.everrrr . 
in class 
homework time 
bye mr.carbone 
so bored 
yeah man 
ooc : 
surgery tomorrow.. 
freak out 
isixhosa ... 
belly aches 
me tooooooooooo 
i know 
doctored-up store-bought 
pimple face 
feels nothing 
english final 
in class 
..bored..again.. sucks.. 
aww sorry 
so tiiiired 
so distracted 
so worn-out.. 
why notttt 
in work 
it sucks 
working again 
thanks ! 
learning *-* 
uncertain ! 
aduuuh beteee 
long drive 
me too 
early morning 
its raining.. 
so exhausted 
headache ! 
work soon 
math tmrw 
thanks though 
mac crashed 
where 's 
is upset 
so tired 
class..no service= 
thank you 
miss sean 
history regents 
fuuuuuck ... 
no good 
coffee fail 
ahhh same 
angry grr 
i know 
its tonight 
yup *cries* 
lucky thing 
same here 
dry eyes 
awww bby 
miss u 
no food 
och nee 
very hungover 
no baseball 
poor you 
longgg day 
sorry mother 
work tomorrow 
revision again 
exhausted ... 
hardwork day 
awwww pobrecito 
i meant 
boring colors 
in know 
awe yeah 
i miss 
green for 
tummy ache 
feels lonley 
finals 2day 
officially sick 
extremly bored 
tummy ache 
3 short 
sore head 
whyy ? 
have fun 
stomaches suck 
at work 
misses you 
sorryyy..not tonight 
thanks eva 
ahhh man 
so stressed 
i know 
why ? 
fuck that 
work ? 
really tired.. 
i knohow 
at work 
grounded forever 
damn tired 
missing lahore 
is tired 
so tirrrreeeddddddd 
headache . 
tired again 
hope so 
i know 
at work 
doing homework 
has mumps 
only us 
all soree 
abby ! 
not fair 
seriously ! 
me too 
got hiccups 
urrrgh *shudders* 
lonely lunch 
i know 
missed it 
worsttttt headacheeeee 
me too 
same here 
is heartbroken 
sorry . 
could cry 
boo today 
i know 
no dm 
arghh headache 
history coursework 
very doubtful 
is learning 
online quiz 
sorrrrrry ! 
its raining 
bathing suit 
poor dishes 
poor you 
really sad 
going home 
sorry ashley 
damn hayfever 
really bored 
200 ! 
doing revision 
sad day 
that sucks 
food ? 
me too 
saying goodbye 
my mama 
why man 
duthie dbled 
dead fooot 
no car 
workin ' 
come visit 
has toothache 
at lunch 
very doubtful 
folding clothes 
hates scams 
not happy 
tummy ache 
work time 
summer reading 
without me 
course work 
i.wish.i.could.get.an.audition.for.camp.rock.2 . 
shitty weather 
uh-oh ! 
not really 
feeling lonely 
severe thunderstorms 
super hot 
twitter maintanence 
overtime ftw 
macs lied 
is cleaning 
misses mr.pepper 
wanted steak 
homework again 
bye twitter 
bought ffvii 
so sunburnt 
bummer . 
i know 
ima cry 
in class 
exams .. 
you know 
rain yay 
/7knc7 - 
stillllll editing 
sad day 
bless lol 
goodbye analouge 
that sucks 
twitter chato 
thanks . 
headache . 
me too 
update failed 
fighting again 
gotsa headache 
major headache 
doing coursework 
aww . 
costs money 
me four 
missing you.. 
bad day 
got hiccupsss 
not happy 
whymisougly ? 
at work 
sorry again 
beyond stressed 
headache . 
follow me 
awwwe beccah 
me too 
im lonely 
its pouring 
honesty . 
thank you 
is upset 
tooth hurts 
so bored 
hate you 
whats wrong 
me too 
idk yet 
friday 19th 
night hun 
moving sux 
i know 
q burocracia 
missing dms 
so bored 
miss you 
tummy ache 
not tired 
sore throat 
ahis over 
its raining 
crampers . 
this sucksssssss 
i know 
sore throat 
you do 
misssing you 
sorry bfffff 
aw gingerbb 
sorry . 
is sick 
its cold 
fuck ... 
absolutely nothing 
fb sucks 
goodbye 2.2 
mished you 
me angry 
cramps..bad ! 
i miss 
noo way..shit.. 
too late 
rainy night 
that sucks 
astros suck 
i knowwww 
exam tomrrow 
i know 
doing homework 
is miserable 
dreading tomorrow 
meeee too 
sad..lonely..and bored 
plan ruined 
wrong answer 
troo . 
hates everything 
me too 
gone together 
awwwwww muffin 
awwww boo 
aww sucks 
english exam 
ughhh fml 
... headache 
another britney 
folllllow me 
what ? 
moved out 
bummer ! 
whyyyyyyyyyyy ! 
lucky you 
me too 
mmmmmm ? 
not yet 
lol sorry 
too late 
awwwww goodnight 
knee hurts 
no me 
me too 
miss you 
why ? 
but meh 
not yet 
mycrashed . 
i know 
to busy 
xams ahead 
its 10:24 
sympathize sympathize 
misses lindsey 
phils leaving 
missingvery much 
very hot 
injured knee 
wicked cramps 
misses abby 
must.sleep.now . 
its hot 
reality sucks 
eek . 
awww sorry 
how sad 
knee hurts 
unfortunately no 
washing clothes 
cant concentrate 
not coping 
is hunggry 
eye huuuurts 
isnt it 
badd headache 
pathetic match 
pissed off 
is hunggry 
long story 
why the 
me too 
is hunggry 
eating nothing 
actually working 
still up 
when ? 
doing homework 
allow chemistry 
cloudy today 
me too 
i agree 
is hunggry 
work ugh 
doing workk 
so bored 
i wish 
blown face 
your haaaair 
lots more 
is hunggry 
poor bby 
not real 
caloooor . 
notonight at 
work sucks 
worried ! 
is hunggry 
/7lu4w - 
being bored 
so bored 
major headache 
chest infection 
itchy eyes 
missingso much 
sounds complicated 
ugh ! 
is hunggry 
earlllyyy morning 
raining today 
exam time 
major headache 
im sorry 
just ... 
tummy ache 
never changing 
is retarded 
me too 
not yet 
is hunggry 
poor tweetie 
totally depressed 
chemistry again 
me too 
major headache 
crying headache 
why ? 
i know 
is hunggry 
again lol 
sorrrry ! 
oops ! 
bah ! 
ugh caaaake 
extremely tired 
ohhhh greasseeee 
oh no 
how sad.. 
maintenance ? 
fine . 
coursework ? 
awww ! 
is hunggry 
r.i.p jimmy 
headache gnight 
truth hurts 
apparently ! 
not really 
exhausted ... 
is hunggry 
jaded today 
is headache 
work sucks 
its raining 
is hunggry 
hungry too 
is hunggry 
that sucks 
weeeh sweetie 
neanche qui 
hmm..sadtimes . 
is hunggry 
i know 
i know 
double history 
is awake 
woork time 
show me 
is hunggry 
more rain 
that sucks 
why ? 
oh dear 
missing you 
hay fever 
*puppy eyes 
maths sucks 
geography assignment 
you mean 
without me 
soo stressed 
is hunggry 
much sympathy 
yes . 
results day 
learning exams 
is hunggry 
no thrice 
this sucks 
work lesson 
back hurts 
spanish final 
me too 
oh oh 
busy day 
lucky you 
work exp 
sad x 
is hunggry 
hates greening 
job please 
without you 
needs money 
not fake 
minor toothache 
feeling misunderstood 
@ work 
nobody understands 
training . 
eck paperwork 
srsly . 
llueve ... 
shes gone 
is hunggry 
aw . 
hope not 
is hunggry 
is itchy 
stomach ache 
withdrawal symptoms 
she resigned 
bored yeww 
at work 
well thanks 
bored now 
asa . 
nosebleed . 
monkey work 
awww spoilsport 
i leave 
rain sucks 
oh noes 
throat hurts 
another day 
oh boo 
at work 
work 9-1 
break up 
toooooooooo hot 
that sucks 
need coffee 
missing everyone 
its okaygm 
ditto ! 
cancelling holidays 
jerks . 
paperrounddddd . 
why ! 
very tired 
sounds painful 
chemistry revision 
missed you 
ahhhh nooooo 
yea ... 
cleaning ? 
i miss 
ugh cramps 
at work 
agree . 
like toothpaste 
still raining 
cleaning . 
tummy ache 
i knoooo 
whyyyy ? 
sore head 
i wish 
need money 
cant focus 
sucks ! 
goodnight â™¥ 
i know 
not well 
how sad 
how sad 
was wrong 
yep . 
mri scan 
show off 
sore throat 
who ? 
... shame 
sorry lulu 
get online 
tummy ache 
crappy day 
at work 
is stressed 
missed you 
preparing exam 
real sick 
offiicially broke 
no electricity 
foot hurts 
so tired 
yes ! 
really bad 
no music 
if only 
so bored 
sore throat 
finally not 
cof cof.. 
no well 
really ? 
sad indeed 
its raining 
at work 
asshole lol 
very sorry 
so tired 
really ill 
nothing yet 
shitty weather 
bye . 
dead ipod 
at work 
you promised 
guess not 
sad face 
cant ! 
am bored 
really sick 
awww haha 
nothing yet 
this sucks 
unfortunately all 
i know 
why ? 
confucianism sucks 
same here 
misses someone 
scary dream 
nooooooooo ! 
belly ache 
no mms 
hewitt unseeded 
me too 
its raining 
tried that 
ugh weather 
english essay 
mee too 
sooo confused 
sorry honey 
fuck clowns 
sorry ... 
shower time 
not working 
not yet 
food poisoning 
ewww finals 
tummy ache 
sweating constantly 
not good 
sorry fav 
ahh hayley 
chemistry ? 
big headache 
why ? 
rainy day 
with fear 
sad song 
i agree 
even ruder 
cant read 
ughhhhhhh . 
i miss 
headache fml 
no bacon 
boomer farted 
not us 
awwww *hugs* 
wooooorrrrrrnn out 
seconded . 
turn right 
exam monday 
ugh hahaha 
today sucks 
in line 
oh sorry 
me too 
not happy 
stay strong 
scattered showasss 
sad day 
oh no 
why ? 
surgery tommorrow 
tummy hurts 
meant new* 
not yet 
going home 
yea man 
shoe buying 
likes boys 
hungry again 
real sick 
misss yewww 
tummy hurts 
our date 
me too 
itchy eyes 
i know 
back hurts 
sad face 
dats meen 
to triste 
goodbye ! 
exams time 
ouch ! 
so jeal 
oh no 
no followers 
well tireddd 
demaisss ! 
missed yoga 
i wish 
nã£o -qqq 
twilight 309 
me too 
of july 
have fun 
me toooooo 
really ? 
late again 
ok thanks 
eating hurts 
yeah . 
come back 
oh noes 
me too 
going home 
tummy hurts 
quebrou . 
work sucks 
is boreedd 
im scared 
ugh finals 
exaaaaams . 
awwwww . 
dreading tomorrow 
not meeeee 
at work 
sore throat 
bad day 
ohhh . 
yeeaaa unfourtunately 
me too 
clearly not 
oh shit 
sore throat 
no haha 
too bad 
me tooooo 
tooooornado warning 
mes condolã©ances 
bad day 
bad day 
its not 
i wish 
hating finals 
tummy hurting 
yup ... 
jealous ! 
why ? 
brain freeze 
mine too 
examms tomorrow 
sympathies . 
oh no 
your invite 
finals tomorrow 
tiring day 
hates ppl 
it was 
i wish 
logging off 
fraid not 
need you 
i agree 
thanks /kingoffighters/ 
so tired 
that sucks.. 
i know 
hey now 
why ? 
headache ... 
laundry time 
me too 
to doente 
search rocks 
tummy ache 
lonesome . 
jealous . 
no bread 
fuck storms 
miss you 
without me 
no email 
it expired 
